file	angel	animal	aristocracy	art	astronomy	beauty	being	cause	chance	change	citizen	constitution	contingency	convention	cosmology	courage	custom	death	definition	democracy	desire	despotism	dialectic	duty	education	element	emotion	equality	eternity	evil	evolution	experience	family	fate	form	god	good	government	habit	happiness	history	honor	hypothesis	idea	imagination	immortality	induction	infinity	judgment	justice	knowledge	labor	language	law	liberty	life	logic	love	man	many	mathematics	matter	mechanics	medicine	memory	metaphysics	mind	monarchy	nature	necessity	oligarchy	one	opinion	opposition	other	pain	particular	peace	philosophy	physics	pleasure	poetry	principle	progress	prophecy	prudence	punishment	quality	quantity	reasoning	relation	religion	revolution	rhetoric	same	science	sense	sign	sin	slavery	soul	space	state	symbol	temperance	theology	time	truth	tyranny	universal	vice	virtue	war	wealth	will	wisdom	world	xyzzy
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-sermon-015.txt	0	0	0	0.000223813786929275	0	0	0	0.00044762757385855	0.000223813786929275	0.00044762757385855	0	0.000223813786929275	0	0	0	0.0017905102954342	0.000223813786929275	0.000223813786929275	0	0	0.00044762757385855	0	0	0	0	0	0	0	0	0.000223813786929275	0	0	0.000223813786929275	0.000223813786929275	0.000895255147717099	0.0181289167412713	0.00470008952551477	0.00111906893464637	0	0.000671441360787825	0.00201432408236347	0	0	0	0.000223813786929275	0	0	0	0	0.00044762757385855	0	0	0.000223813786929275	0.000223813786929275	0.000895255147717099	0.000895255147717099	0	0.00223813786929275	0.00246195165622202	0.00335720680393912	0	0.00111906893464637	0	0	0	0	0.00201432408236347	0	0.00246195165622202	0	0	0.00671441360787824	0	0.000223813786929275	0	0	0.00156669650850492	0.00402864816472695	0	0	0	0.000223813786929275	0.000671441360787825	0.000895255147717099	0	0	0	0	0	0	0	0.00828111011638317	0.000223813786929275	0	0	0	0.000671441360787825	0	0.000223813786929275	0	0	0	0.000895255147717099	0.000223813786929275	0.000671441360787825	0	0.0026857654431513	0.00134288272157565	0.000895255147717099	0.00044762757385855	0.00223813786929275	0.0017905102954342	0.00044762757385855	0.00044762757385855	0.00581915846016115	0.000223813786929275	0.00313339301700985	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/c4l-Getting-05.txt	0	0	0	0	0	0	0	0	0	0.000506329113924051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000506329113924051	0	0	0	0	0	0.000506329113924051	0.0010126582278481	0	0	0.000506329113924051	0	0.0010126582278481	0	0	0	0	0	0	0	0	0	0	0.00151898734177215	0	0	0	0	0	0	0	0	0	0	0	0	0.000506329113924051	0	0	0	0.000506329113924051	0	0	0	0.000506329113924051	0	0	0.00354430379746835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00658227848101266	0	0.000506329113924051	0	0	0	0.00962025316455696	0	0	0	0	0.00151898734177215	0	0	0	0	0	0	0	0.00455696202531646	0	0.000506329113924051	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/c4l-Automagic-04.txt	0	0.0022075055187638	0	0	0	0	0	0	0.00126143172500788	0.000315357931251971	0	0.000630715862503942	0	0	0	0	0	0	0.00126143172500788	0	0	0	0	0	0	0.000315357931251971	0	0	0	0	0	0.00126143172500788	0	0	0.000315357931251971	0	0	0.00189214758751183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022075055187638	0.00378429517502365	0	0	0	0	0	0.000315357931251971	0	0	0	0	0	0	0	0	0	0	0	0.00315357931251971	0	0	0	0	0.000946073793755913	0	0	0	0	0	0	0	0	0	0	0.000315357931251971	0	0	0	0	0	0	0	0.000315357931251971	0	0	0	0	0	0	0.00189214758751183	0	0	0	0.00157678965625985	0	0	0	0	0	0	0	0.00252286345001577	0	0	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/c4l-Ship-08.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101214574898785	0	0	0	0	0	0	0	0.000506072874493927	0.000506072874493927	0	0	0	0	0.000506072874493927	0.00101214574898785	0	0	0.00607287449392713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101214574898785	0	0	0	0	0	0	0	0	0	0	0	0.00303643724696356	0	0	0	0	0.00101214574898785	0	0	0	0	0	0	0	0	0	0	0	0	0.000506072874493927	0	0	0	0	0	0	0	0	0	0	0	0	0.00101214574898785	0.00101214574898785	0	0	0.00860323886639676	0	0	0	0	0	0	0	0.00708502024291498	0	0.00101214574898785	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-sermon-022.txt	0	0	0	0	0	0	0	0.000235460324935248	0	0.000235460324935248	0	0.000706380974805745	0	0	0	0.000706380974805745	0	0.000941841299740994	0	0	0	0	0	0.000470920649870497	0	0.000235460324935248	0	0.000235460324935248	0	0.000470920649870497	0	0	0.000235460324935248	0.000235460324935248	0.000706380974805745	0.00918295267247469	0.00329644454909348	0.00329644454909348	0	0.000706380974805745	0.00141276194961149	0	0	0	0	0	0	0	0	0.00235460324935248	0.000235460324935248	0	0.000706380974805745	0.00141276194961149	0.00211914292441724	0.00141276194961149	0	0.00164822227454674	0.000706380974805745	0.00235460324935248	0	0	0	0	0.000235460324935248	0	0.00211914292441724	0.000470920649870497	0.00117730162467624	0	0	0.0072992700729927	0.000235460324935248	0.000470920649870497	0	0.000235460324935248	0.00141276194961149	0.00164822227454674	0	0	0.00164822227454674	0	0	0.000470920649870497	0	0	0.000470920649870497	0	0	0	0.000941841299740994	0.00400282552389922	0.000235460324935248	0.000470920649870497	0	0	0	0	0	0	0.000941841299740994	0	0.00188368259948199	0	0	0	0.00235460324935248	0.000470920649870497	0.000235460324935248	0	0.000235460324935248	0.000470920649870497	0.00329644454909348	0.000470920649870497	0.00800565104779845	0.000470920649870497	0.00188368259948199	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-news-010.txt	0.000368369351669941	0	0	0.00012278978388998	0	0	0	0.0012278978388998	0	0.000491159135559921	0	0	0	0	0	0.000245579567779961	0.00012278978388998	0.00110510805500982	0	0	0.00159626719056974	0	0	0.00196463654223969	0.00012278978388998	0	0	0.00012278978388998	0	0.000736738703339882	0	0.000368369351669941	0.000245579567779961	0.000368369351669941	0	0.0114194499017682	0.00405206286836935	0.00331532416502947	0	0.000491159135559921	0.000982318271119843	0	0	0	0.00012278978388998	0	0	0	0	0.00147347740667976	0	0	0.00012278978388998	0.00159626719056974	0.000368369351669941	0.00159626719056974	0	0.000736738703339882	0.00196463654223969	0.00442043222003929	0	0.000613948919449902	0	0	0.000245579567779961	0	0.000982318271119843	0.000245579567779961	0.00135068762278978	0.00012278978388998	0	0.00527996070726915	0.00012278978388998	0.000368369351669941	0	0.00012278978388998	0.0012278978388998	0.00171905697445972	0.000245579567779961	0	0	0	0	0	0	0	0.000368369351669941	0.00012278978388998	0	0	0.00012278978388998	0.00589390962671906	0	0	0	0	0.00171905697445972	0	0.00110510805500982	0	0.00012278978388998	0	0.000736738703339882	0	0	0	0.00147347740667976	0.00012278978388998	0.000368369351669941	0.000491159135559921	0	0	0.00135068762278978	0	0.00945481335952849	0.000736738703339882	0.00221021611001965	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-sermon-023.txt	0	0	0	0	0	0	0	0.000253613999492772	0	0.000253613999492772	0	0.000760841998478316	0	0	0	0.000760841998478316	0	0.00101445599797109	0	0	0	0	0	0.000507227998985544	0	0.000253613999492772	0	0.000253613999492772	0	0.000507227998985544	0	0	0.000253613999492772	0.000253613999492772	0.000760841998478316	0.00989094598021811	0.00355059599289881	0.00355059599289881	0	0.000760841998478316	0.000760841998478316	0	0	0	0	0	0	0	0	0.00253613999492772	0.000253613999492772	0	0.000760841998478316	0.00152168399695663	0.00228252599543495	0.00101445599797109	0	0.00152168399695663	0.000760841998478316	0.00253613999492772	0	0	0	0	0.000253613999492772	0	0.00228252599543495	0.000507227998985544	0.00101445599797109	0	0	0.00786203398427593	0.000253613999492772	0.000507227998985544	0	0.000253613999492772	0.00152168399695663	0.00152168399695663	0	0	0.0017752979964494	0	0	0.000507227998985544	0	0	0.000507227998985544	0	0	0	0.00101445599797109	0.00405782399188435	0.000253613999492772	0.000507227998985544	0	0	0	0	0	0	0.00101445599797109	0	0.00152168399695663	0	0	0	0.00253613999492772	0.000507227998985544	0.000253613999492772	0	0.000253613999492772	0.000507227998985544	0.00355059599289881	0.000507227998985544	0.00786203398427593	0.000507227998985544	0.00202891199594218	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-life-09.txt	0	0	0	0	0	0	0	0.00232516544446432	0	0.000357717760686818	0	0.000178858880343409	0	0	0	0.000357717760686818	0	0	0.000178858880343409	0	0	0	0	0.00107315328206045	0	0	0	0	0	0.000178858880343409	0	0	0.000178858880343409	0	0	0.00160972992309068	0.00286174208549454	0.000715435521373636	0	0	0.000357717760686818	0	0	0	0	0	0	0	0	0.000536576641030227	0.000178858880343409	0	0	0.000178858880343409	0.00107315328206045	0.000357717760686818	0	0.00107315328206045	0.00143087104274727	0.0019674476837775	0	0.00268288320515114	0	0	0	0	0.000715435521373636	0.000357717760686818	0	0.000715435521373636	0	0.00339831872652477	0.000536576641030227	0.000357717760686818	0	0.000178858880343409	0.000894294401717045	0.000178858880343409	0.000178858880343409	0	0.000178858880343409	0	0	0.000357717760686818	0	0	0	0.000178858880343409	0	0	0.000357717760686818	0.00232516544446432	0	0	0	0	0.000178858880343409	0	0	0	0	0	0.00125201216240386	0	0	0	0.00304060096583795	0.00107315328206045	0	0.000536576641030227	0	0.000178858880343409	0.000178858880343409	0.000178858880343409	0.00858522625648363	0	0.000715435521373636	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-sermon-01.txt	0	0	0	0	0	8.3619031691613e-05	0	0.0012542854753742	0	0.000250857095074839	0	0.000501714190149678	0	0	0	8.3619031691613e-05	8.3619031691613e-05	0.00083619031691613	0	0	8.3619031691613e-05	0	0	0.00100342838029936	0	0	0	0	0	0	0	0.000167238063383226	0.000250857095074839	0	0.000585333221841291	0.00342838029935613	0.00309390417258968	0.00217409482398194	8.3619031691613e-05	0.00083619031691613	0.000585333221841291	0	0	0	8.3619031691613e-05	0	0	0	0	0.000334476126766452	0.000752571285224517	0	0.000250857095074839	0.00526799899657162	0.00183961869721549	0.000585333221841291	0	0.000418095158458065	0.00183961869721549	0.00367923739443097	0	0.00217409482398194	0	0	0.00108704741199097	0	0.000919809348607743	0	0.00234133288736516	0.000668952253532904	0	0.00719123672547872	8.3619031691613e-05	0.000418095158458065	0	8.3619031691613e-05	0.000919809348607743	0.000668952253532904	0.000167238063383226	0	0.000919809348607743	0	0.000418095158458065	0.000334476126766452	0	0	0	8.3619031691613e-05	0	0.000167238063383226	0.00108704741199097	0.00827828413746969	0	0	0	0	0.000585333221841291	0	0.000418095158458065	8.3619031691613e-05	0	0	0.000334476126766452	0	0	0	0.00359561836273936	0.000501714190149678	0	0	8.3619031691613e-05	8.3619031691613e-05	0.000250857095074839	8.3619031691613e-05	0.0128773308805084	8.3619031691613e-05	0.00175599966552387	0
/Users/eric/Desktop/machine-learning/carrels/burnet-c4l/burnet-ill-06.txt	0	0	0	0	0	0	0	0.00109349371241115	0	0	0	0.00164024056861673	0	0	0	0.000546746856205577	0.00109349371241115	0	0	0	0.000546746856205577	0	0	0.000546746856205577	0	0	0	0	0	0.00273373428102788	0	0	0	0	0.000546746856205577	0.00382722799343904	0.00218698742482231	0.00820120284308365	0	0	0.000546746856205577	0	0	0	0	0	0	0	0	0.000546746856205577	0	0	0	0.00601421541826134	0	0.00273373428102788	0	0.00109349371241115	0.00218698742482231	0.00328048113723346	0	0.00382722799343904	0	0	0	0	0	0	0.00273373428102788	0.00164024056861673	0	0.00601421541826134	0.00109349371241115	0	0	0	0.00109349371241115	0.000546746856205577	0	0	0	0	0	0	0	0	0.000546746856205577	0	0	0	0.00218698742482231	0.00273373428102788	0	0	0	0	0.000546746856205577	0	0	0	0.000546746856205577	0	0.00382722799343904	0	0	0	0.00328048113723346	0	0	0.000546746856205577	0	0	0	0	0.0147621651175506	0.000546746856205577	0.000546746856205577	0
